,name,address
0,원주무실  ,강원도 원주시 능라동길 73 (무실동)
1,설악쏘라노  ,강원도 속초시 미시령로2983번길 111 (장사동)
2,강릉교동광장  ,강원도 강릉시 교동광장로 114 (교동)
3,강릉중앙로  ,강원도 강릉시 경강로 2096 (임당동)
4,속초DT  ,강원도 속초시 동해대로 4114 (조양동)
5,춘천석사DT  ,강원도 춘천시 후석로 13 (석사동)
6,춘천후평DT  ,강원도 춘천시 후석로 318 (후평동)
7,동해DT  ,강원도 동해시 중앙로 219 (천곡동)
8,원주혁신도시  ,강원도 원주시 혁신로 61 (반곡동)
9,오션월드  ,강원도 홍천군 한치골길 262 (서면) 대명비발디파크 오션월드
10,원주터미널  ,강원도 원주시 서원대로 178 (단계동)
11,강원대  ,강원도 춘천시 서부대성로 243-1 (효자동)
12,대명비발디  ,강원도 홍천군 한치골길 262 (서면) 대명비발디파크
13,춘천이마트  ,강원도 춘천시 경춘로 2353 (온의동) E-마트 춘천점내 1층
14,춘천명동  ,강원도 춘천시 중앙로 57 (중앙로2가)
15,오션월드입구  ,강원도 홍천군 한치골길 262 (서면) 대명비발디파크 오션월드
16,속초중앙로  ,강원도 속초시 중앙로 123 (금호동)
17,원주단구  ,"강원도 원주시 서원대로 402, 대신프라자 101,102,103호 (단구동)"
18,강릉안목항  ,강원도 강릉시 창해로14번길 40 (견소동)
19,대명델피노  ,강원도 고성군 토성면 미시령옛길 1153
