,name,address
0,분당율동공원  ,경기도 성남시 분당구 새마을로175번길 4 (율동)
1,리버사이드팔당DTR  ,경기도 남양주시 와부읍 경강로 772 
2,분당이매  ,경기도 성남시 분당구 이매로 15 (이매동)
3,광명소하  ,경기도 광명시 금하로 464 (소하동)
4,김포감정DT  ,경기도 김포시 중봉로 27 (감정동)
5,일산덕이DT  ,경기도 고양시 일산서구 탄중로 106 (덕이동)
6,의왕포일  ,경기도 의왕시 안양판교로 89 (포일동)
7,부천심곡DT  ,경기도 부천시 부천로 97 (심곡동)
8,성남위례  ,경기도 성남시 수정구 위례광장로 104 (창곡동)
9,평택험프리 메인몰  ,경기도 평택시 팽성대교길 153-1 (팽성읍)
10,시흥P.아울렛 1F  ,경기도 시흥시 서해안로 699 (정왕동)
11,시흥P.아울렛 3F  ,경기도 시흥시 서해안로 699 (정왕동)
12,남양주진접DT  ,경기도 남양주시 진접읍 금강로 1477 
13,의정부민락  ,경기도 의정부시 천보로 68 (민락동)
14,스타필드고양3F잇토피아  ,경기도 고양시 덕양구 고양대로 1955 (동산동)
15,스타필드고양1F고메스트리트  ,경기도 고양시 덕양구 고양대로 1955 (동산동)
16,스타필드고양1FR  ,경기도 고양시 덕양구 고양대로 1955 (동산동)
17,스타필드고양3F(티바나)  ,경기도 고양시 덕양구 고양대로 1955 (동산동)
18,이천사음DT  ,경기도 이천시 경충대로 3045 (사음동)
19,광명소하DT  ,경기도 광명시 오리로 361 (소하동)
20,수원권선  ,경기도 수원시 권선구 동수원로177번길 40 (권선동)
21,수원권선 DT  ,경기도 수원시 권선구 매송고색로 541 (오목천동)
22,동탄역  ,경기도 화성시 동탄대로 495 (오산동)
23,시흥대야  ,경기도 시흥시 비둘기공원로 10 (대야동)
24,안산상공회의소  ,경기도 안산시 단원구 적금로 120 (고잔동)
25,하남미사  ,경기도 하남시 미사강변북로30번길 130 (망월동)
26,의정부공원  ,경기도 의정부시 평화로 540 (의정부동)
27,수원호매실  ,"경기도 수원시 권선구 서수원로577번길 305 (금곡동, 수원모아미래도센트럴타운2단지)"
28,김포장기커낼  ,"경기도 김포시 김포한강2로 41 (장기동, E편한세상 캐널시티)"
