,name,address
0,창원마창대교  ,경상남도 창원시 성산구 삼귀로 159 (귀곡동)
1,창원호계DT  ,경상남도 창원시 마산회원구 내서읍 호원로 315 
2,양산덕계DT  ,경상남도 양산시 웅상대로 860 (덕계동)
3,창원역DT  ,경상남도 창원시 의창구 의창대로 68 (팔용동)
4,양산가촌  ,경상남도 양산시 물금읍 야리로 25 
5,진해자은DT  ,경상남도 창원시 진해구 진해대로 962 (자은동)
6,사천벌리  ,경상남도 사천시 주공로 31 (벌리동)
7,김해외동DT  ,경상남도 김해시 분성로 146 (외동)
8,김해대로DT  ,경상남도 김해시 김해대로 (삼정동)
9,창원상남사거리  ,경상남도 창원시 성산구 단정로 25
10,마산터미널  ,경상남도 창원시 마산회원구 합성남로 6-1 (합성동)
11,김해인제대  ,경상남도 김해시 인제로 168 (어방동)
12,경남과기대  ,경상남도 진주시 동진로 34 (칠암동)
13,거제고현  ,경상남도 거제시 거제중앙로 1936 (고현동)
14,양산터미널  ,경상남도 양산시 양산역1길 7 (중부동) 양산시외버스터미널
15,진주칠암DT  ,경상남도 진주시 진주대로829번길 2 (주약동)
16,삼성창원병원  ,경상남도 창원시 마산회원구 팔용로 158 (합성동)
17,진주평거  ,경상남도 진주시 진양호로 206 BYC빌딩1층
18,김해이마트  ,경상남도 김해시 전하로304번길 24 (외동) 김해 이마트 1층
19,신세계김해  ,경상남도 김해시 전하로304번길 24 (외동) 신세계백화점 1층
20,김해내동  ,경상남도 김해시 경원로 67 (내동)
21,양산이마트  ,"경상남도 양산시 양산역6길 12, 양산이마트 1층 (중부동)"
22,통영이마트  ,경상남도 통영시 광도면 죽림4로 9
23,창원용지호수  ,경상남도 창원시 의창구 용지로169번길 1 (용호동)
24,경남대  ,경상남도 창원시 마산합포구 월영남로 3 (해운동)
25,창원시티세븐  ,경상남도 창원시 의창구 원이대로 320 (대원동) 더시티세븐 시티세븐
26,신세계마산  ,경상남도 창원시 마산합포구 합포로 251 (산호동) 신세계백화점 내 지하1층
27,디큐브거제  ,경상남도 거제시 장평로 12 (장평동)
28,창원상남동  ,경상남도 창원시 성산구 상남로 132 (상남동)
29,거제옥포  ,경상남도 거제시 옥포대첩로 38 (옥포동)
30,진주경상대  ,경상남도 진주시 진주대로 510 (가좌동)
31,거제대명리조트  ,"경상남도 거제시 일운면 거제대로 2660, 거제대명리조트 1층"
32,진주신안  ,경상남도 진주시 진양호로 353 (신안동)
33,창원상남중앙  ,"경상남도 창원시 성산구 마디미로 20, 유탑프라자 (상남동)"
34,김해삼계  ,경상남도 김해시 가야로 182 (삼계동)
35,창원리베라  ,"경상남도 창원시 성산구 중앙대로100번길 9, 리베라컨벤션 (상남동)"
36,김해율하  ,경상남도 김해시 율하3로91번길 30-5
37,양산범어  ,경상남도 양산시 물금읍 범어로 62
38,창원팔용  ,경상남도 창원시 의창구 팔용로 419 (팔용동)
39,진해용원  ,경상남도 창원시 진해구 안골로 336 (용원동) 형제빌딩
40,진주중안  ,경상남도 진주시 진양호로527번길 3 (중안동)
