,name,address
0,경산중방DT  ,경상북도 경산시 경안로 222 (중방동)
1,포항장성DT  ,경상북도 포항시 북구 새천년대로 1255 (장성동)
2,경주보문  ,경상북도 경주시 보문로 535 (천군동)
3,포항쌍용DT  ,경상북도 포항시 남구 중흥로 122 (상도동)
4,구미인의  ,경상북도 구미시 인동중앙로 15 (인의동)
5,안동옥동  ,경상북도 안동시 경북대로 379 (옥동)
6,영남대중앙도서관  ,경상북도 경산시 대학로 280 (조영동) 영남대학교
7,영남대아트센터  ,경상북도 경산시 대학로 280 (대동) 영남대학교
8,경주대릉원  ,경상북도 경주시 첨성로 125 (황남동)
9,포항대이  ,경상북도 포항시 남구 포스코대로 124 (대잠동)
10,포항대도동  ,경상북도 포항시 남구 포스코대로 340 (대도동)
11,구미시청DT  ,경상북도 구미시 송정대로 27 (송정동)
12,경주황성  ,경상북도 경주시 황성로1번길 4 (황성동)
13,안동시청  ,경상북도 안동시 서동문로 173 (삼산동)
14,포항오천  ,경상북도 포항시 남구 오천읍 원동로 15
15,포항양덕  ,경상북도 포항시 북구 장량로 162 (양덕동)
16,김천시청DT  ,경상북도 김천시 시청로 47 (대신동)
17,경주터미널DT  ,경상북도 경주시 태종로 686 (사정동)
18,구미옥계  ,경상북도 구미시 옥계북로 20 (양포동)
19,김천구미역  ,경상북도 김천시 혁신로 316-43 (율곡동)
20,경주보문로DT  ,"경상북도 경주시 보문로 510-6, 외 1번지(신평동 719-220) (천군동)"
21,구미공단  ,"경상북도 구미시 1공단로 212, HALLA SIGMA VALLEY 106 (공단동)"
22,포항시청  ,경상북도 포항시 남구 시청로 5 (대잠동)
23,포항애비뉴  ,경상북도 포항시 남구 중흥로 77 (상도동) 밸류플러스복합빌딩
24,포항영일대비치  ,경상북도 포항시 북구 삼호로 186 (항구동)
25,경주중앙  ,경상북도 경주시 원효로 105-1 (노동동)
26,문경새재  ,경상북도 문경시 새재로 906 (문경읍)
27,경산이마트  ,경상북도 경산시 옥산로 227 (중산동) 경산이마트
28,구미인동  ,"경상북도 구미시 인동가산로 9-3, 노블레스타워 1층 (황상동)"
29,구미  ,경상북도 구미시 구미중앙로 94 (원평동)
30,포항이마트  ,"경상북도 포항시 남구 냉천로 10, 이마트 포항점 1층 (인덕동)"
31,대구가톨릭대  ,경상북도 경산시 하양읍 하양로 18
32,구미금오산DT  ,경상북도 구미시 금오산로 205 (남통동)
33,경주보문호수DT  ,경상북도 경주시 보문로 132-6 (북군동)
34,포항중앙  ,경상북도 포항시 북구 불종로 41 (신흥동)
35,영남대  ,"경상북도 경산시 청운로 16, 1~3층 (대동)"
