,name,address
0,대구중동DT  ,대구광역시 수성구 수성로 243 (중동)
1,대구수성네거리DT  ,대구광역시 수성구 들안로 342 (수성동4가)
2,대구칠성DT  ,대구광역시 북구 중앙대로 524 (칠성동2가)
3,대구상인DT  ,대구광역시 달서구 월곡로 334 (상인동)
4,대구공평DT  ,대구광역시 중구 국채보상로 642 (동인동2가)
5,대구두류DT  ,대구광역시 달서구 달구벌대로 1798 (두류동)
6,대구감삼DT  ,대구광역시 달서구 와룡로 131 
7,대구성서IC DT  ,대구광역시 달서구 달구벌대로 1393
8,대구칠곡대로DT  ,대구광역시 북구 칠곡중앙대로 348 (태전동)
9,대구황금DT  ,대구광역시 수성구 청수로 164 (지산동)
10,대구평리DT  ,대구광역시 서구 서대구로 89 (평리1동)
11,대구상동DT  ,대구광역시 수성구 무학로 29(상동)
12,동대구로DT  ,대구광역시 동구 동대구로 422 (신천동)
13,대구중동네거리DT  ,대구광역시 수성구 청수로 51 (중동)
14,대구도원DT  ,대구광역시 달서구 상화로 314 (도원동)
15,대구만촌DT  ,"대구광역시 수성구 달구벌대로 2636, , 853-25번지 (만촌동)"
16,대구침산DT  ,대구광역시 북구 침산로 126 (침산동)
