,name,address
0,대전장대  ,대전광역시 유성구 유성대로 781 (장대동)
1,대전대사DT  ,대전광역시 중구 계룡로 949 (대사동)
2,대전도안DT  ,대전광역시 유성구 도안대로 573 (봉명동)
3,대전둔산남로  ,대전광역시 서구 둔산남로 100 (탄방동)
4,대전한남대DT  ,대전광역시 대덕구 한밭대로 1122 (중리동)
5,대전판암DT  ,대전광역시 동구 옥천로 118 (판암동)
6,대전복수  ,대전광역시 서구 복수남로 28 (복수동)
7,대전탄방역  ,대전광역시 서구 문정로2번길 95 (탄방동)
8,대전건양대병원  ,대전광역시 서구 관저동로 170 (관저동)1층
9,대전정부청사역  ,대전광역시 서구 한밭대로 755 (둔산동)
10,대전만년  ,대전광역시 서구 만년로 81 (만년동)
11,대전둔산  ,대전광역시 서구 대덕대로 189 (둔산동)
12,대전목원대  ,대전광역시 서구 동서대로 682 (도안동)
13,대전대덕로  ,대전광역시 서구 대덕대로234번길 18 (둔산동)
14,대전관저  ,대전광역시 서구 관저로 142 (관저동)
15,대전엑스포  ,대전광역시 유성구 엑스포로 97번길 40
16,대전관평동  ,대전광역시 유성구 태크노중앙로 68
17,대전수침교DT  ,대전광역시 서구 계룡로 692 (용문동)
18,대전전민  ,대전광역시 유성구 유성대로 1722 (전민동)
19,대전유성  ,대전광역시 유성구 온천서로 2 (봉명동)
20,대전신탄진DT  ,대전광역시 대덕구 대덕대로 1544 (석봉동)
21,대전IC DT  ,대전광역시 대덕구 동서대로 1776 (비래동)
22,대전유천DT  ,대전광역시 중구 계백로 1604 (유천동)
23,대전지족  ,대전광역시 유성구 지족로 373 (지족동)
24,대전태평  ,대전광역시 중구 태평로 71 (태평동)
25,대전가수원DT  ,대전광역시 서구 계백로 1128 (가수원동)
26,대전유성구청  ,대전광역시 유성구 어은로 42 (어은동)
27,대전법원  ,대전광역시 서구 둔산로123번길 43 (둔산동)
28,대전둔산로  ,대전광역시 서구 대덕대로241번길 35 (둔산동)
29,월평트레이더스  ,대전광역시 서구 한밭대로 580 (월평동)
30,대전터미널  ,대전광역시 동구 동서대로1695번길 4 (용전동)
31,대전호텔  ,"대전광역시 서구 둔산중로134번길 13, 둔산관광호텔 (둔산동)"
32,대전세이  ,"대전광역시 중구 계백로 1700, 5층 (문화동)"
33,대전가오  ,대전광역시 동구 동구청로 101 (가오동)
34,대전테크노밸리  ,대전광역시 유성구 테크노4로 105 (관평동)
35,대전스타일마켓  ,"대전광역시 동구 동서대로 1689, 2층 (용전동)"
36,대전시청역  ,대전광역시 서구 둔산로 142 (둔산동)
37,대전탄방  ,"대전광역시 서구 문정로 78, 정우빌딩 1층 (탄방동)"
38,은행동  ,대전광역시 중구 중앙로 164 (은행동)
39,둔산은하수  ,"대전광역시 서구 둔산로31번길 28, 금정빌딩 1층 (둔산동)"
40,충남대정문  ,대전광역시 유성구 대학로 82 (궁동)
41,대전세이1층  ,"대전광역시 중구 계백로 1700, 외 4필지 세이백화점 신관 (문화동)"
42,대전터미널후문  ,대전광역시 동구 동서대로1695번길 43 (용전동)
43,대전월평  ,대전광역시 서구 청사로123번길 25 (월평동)
44,대전시청사거리  ,대전광역시 서구 둔산남로 50 (탄방동)
45,대전송촌  ,"대전광역시 대덕구 송촌북로36번길 36, 1층 (송촌동)"
46,대전중앙로역  ,대전광역시 중구 대종로 486 (은행동)
47,대전노은  ,"대전광역시 유성구 은구비남로33번길 26, 1~2층 (지족동)"
