,name,address
0,금련산역  ,부산광역시 수영구 수영로464번길 6 (남천동)
1,동명대DT  ,부산광역시 남구 신선로 423 (용당동)
2,수영역  ,부산광역시 수영구 수영로 671 (광안동)
3,국제시장  ,부산광역시 중구 대청로 80 (대청동3가)
4,해운대역  ,부산광역시 해운대구 구남로 9 (우동)
5,동서대DT  ,부산광역시 사상구 가야대로 338 (주례동)
6,연산시티타워  ,부산광역시 연제구 중앙대로 1125 (연산동)
7,명륜역  ,부산광역시 동래구 동래로 25 
8,자갈치역  ,부산광역시 중구 구덕로 54-1 (남포동5가)
9,센텀파크  ,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차아파트)"
10,온천장역DT  ,부산광역시 금정구 식물원로 13 (장전동)
11,광안수변공원  ,부산광역시 수영구 민락수변로 29 (민락동)
12,수영강변DT  ,부산광역시 해운대구 수영강변대로 516 (반여동)
13,다대포DT  ,부산광역시 사하구 다대로 493 (다대동)
14,금정구청DT  ,부산광역시 금정구 중앙대로 1730 (부곡동)
15,더해운대R  ,"부산광역시 해운대구 해운대해변로 197 (우동, 해운대경동제이드아파트)"
16,서면로R  ,부산광역시 부산진구 서면로 49-1 (부전동)
17,명지국제신도시  ,부산광역시 강서구 명지국제5로 42 (명지동)
18,용호동W스퀘어  ,"부산광역시 남구 분포로 145 (용호동) 더블유스퀘어동 1019호,1020호,1021호,2011호 2012호"
19,동래역  ,부산광역시 동래구 충렬대로181번길 42 
20,부산하단  ,부산광역시 사하구 낙동대로 455 (하단동)
21,연산중앙로  ,부산광역시 연제구 중앙대로 1091 (연산동)
22,서면전포역  ,부산광역시 부산진구 전포대로199번길 27 (전포동)
23,부민사거리  ,부산광역시 서구 구덕로 212 (부민동1가)
24,동래미남DT  ,부산광역시 동래구 충렬대로 101 (온천동)
25,해운대달맞이DT  ,부산광역시 해운대구 달맞이길 57 (중동) 1~3층
26,부산중앙역  ,부산광역시 중구 중앙대로81번길 2 (중앙동4가)
27,범일교차로  ,부산광역시 동구 조방로 4 (범일동)
28,부산동아대  ,부산광역시 사하구 낙동대로550번길 14 (하단동) 1~3층
29,부산연산역  ,부산광역시 연제구 반송로 20 (연산동)
30,센텀신세계B1  ,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC
31,대연힐스테이트  ,부산광역시 남구 수영로 345 대연힐스테이트 115동 121호
32,부산개금역  ,부산광역시 부산진구 가야대로 462 (개금동)
33,BIFC Mall  ,부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터
34,부산안락DT  ,부산광역시 동래구 충렬대로 446 (안락동)
35,센텀로  ,부산광역시 해운대구 센텀2로 10 (우동) 센텀메디컬센타 1층 스타벅스 센텀로점
36,부산외대  ,부산광역시 금정구 금샘로 459
37,센텀몰5  ,부산광역시 해운대구 센텀4로 15 (우동)[*미고시]
38,수영망미DT  ,부산광역시 수영구 과정로 68 (망미동)
39,동의대역  ,부산광역시 부산진구 가야대로 589 (가야제1동)
40,해운대  ,부산광역시 해운대구 구남로 49 (중동) 101호
41,부산교대역  ,부산광역시 연제구 명륜로 3 (거제제1동) 한양프라자
42,양정역  ,부산광역시 부산진구 중앙대로 894 (양정동)
43,동부산DT  ,부산광역시 기장군 기장읍 기장해안로 56 
44,을숙도강변DT  ,부산광역시 사하구 하신번영로 381-6 (하단동)
45,사직구장  ,부산광역시 동래구 사직북로 4 (사직동)
46,광안비치  ,부산광역시 수영구 광안로62번길 39 (광안동)
47,부산재송DT  ,부산광역시 해운대구 해운대로 189 (재송동)
48,서면NC  ,부산광역시 부산진구 동천로 92 (전포동) NC백화점 1층
49,남포동역  ,"부산광역시 중구 구덕로 4, 1~2층 (광복동1가)"
50,사상역  ,부산광역시 사상구 사상로 211 (괘법동)
51,부산온천장역  ,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)"
52,금정이마트  ,부산광역시 금정구 중앙대로1841번길 24 (구서동)
53,월드마크센텀  ,"부산광역시 해운대구 센텀동로 25, 1층 (우동)"
54,부산다대포  ,부산광역시 사하구 다대로 708 (다대동)
55,센텀KNN  ,부산광역시 해운대구 센텀서로 30 (우동)
56,센텀드림월드  ,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)"
57,명지오션시티  ,부산광역시 강서구 명지오션시티11로 66 (명지동)
58,서면트레이더스  ,부산광역시 부산진구 시민공원로 31 (부암동)
59,하단중앙  ,부산광역시 사하구 낙동남로 1411 (하단동)
60,해운대이마트  ,"부산광역시 해운대구 좌동순환로 511, 해운대이마트 1층 (중동)"
61,부산동대신역  ,부산광역시 서구 구덕로322번길 7 (동대신동3가)
62,서면중앙  ,부산광역시 부산진구 서면로68번길 1 (부전동)
63,서면일번가  ,부산광역시 부산진구 서면로 25 (부전동)
64,서면메디컬거리  ,"부산광역시 부산진구 가야대로 783-1, 1층 (부전동)"
65,해운대달맞이  ,부산광역시 해운대구 달맞이길 189 (중동)
66,센텀갤러리  ,"부산광역시 해운대구 센텀남대로 35, 신세계백화점 UEC 6F (우동)"
67,서면센트럴스퀘어  ,부산광역시 부산진구 중앙대로666번길 50 (부전동)
68,부산사직  ,부산광역시 동래구 사직북로 24 (사직동)
69,광복중앙로  ,부산광역시 중구 광복중앙로 28-1 (대청동2가)
70,신세계마린시티  ,부산광역시 해운대구 마린시티2로 38 (우동)
71,부산괴정역  ,부산광역시 사하구 사하로186번길 6 (괴정동)
72,제니스스퀘어  ,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)"
73,부전역  ,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)"
74,센텀시티역  ,"부산광역시 해운대구 센텀동로 9, 트럼프월드센텀아파트 1층 (우동)"
75,부산역  ,부산광역시 동구 중앙대로 216 (초량동)
76,BIFF광장  ,부산광역시 중구 비프광장로 25 (남포동3가)
77,블루스퀘어  ,부산광역시 해운대구 좌동로 96 (좌동)
78,팔레드시즈  ,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호, 2-3호 (중동)"
79,남천  ,부산광역시 수영구 남천바다로 38 (남천동)
80,베네시티  ,부산광역시 해운대구 해운대해변로 163 (우동)
81,벡스코  ,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)"
82,하버타운  ,"부산광역시 해운대구 해운대해변로 257, 엘지하버타운 (우동)"
83,부산대  ,"부산광역시 금정구 금정로68번길 2, 건우빌딩 (장전동)"
84,서면역  ,부산광역시 부산진구 서전로 1 (부전동)
85,장산역  ,부산광역시 해운대구 해운대로 802 (좌동)
86,광안리  ,부산광역시 수영구 광안해변로 247 (민락동)
87,경성대  ,부산광역시 남구 수영로 312 (대연동)
88,부산송도비치  ,부산광역시 서구 송도해변로 81 (암남동)
89,부산송정비치  ,부산광역시 해운대구 송정해변로 36 (송정동)
90,부산서면  ,부산광역시 부산진구 중앙대로692번길 46-10 (부전동)
91,부산P.아울렛  ,부산광역시 기장군 정관로 1133 (175호)
92,부산화명역  ,부산광역시 북구 금곡대로285번길 5 (화명동)
93,센텀그린타워  ,부산광역시 해운대구 센텀중앙로 78 (우동)
94,부산초량  ,"부산광역시 동구 중앙대로180번길 12-4, 대창빌딩 1~2층 (초량동)"
95,부산덕천역  ,부산광역시 북구 만덕대로 30 (덕천동)
96,부산교대  ,부산광역시 연제구 교대로 20-2 (거제동)
97,서면서전로  ,부산광역시 부산진구 서전로 19 (부전동)
98,부산정관  ,부산광역시 기장군 정관읍 정관로 579 
99,부산대역  ,"부산광역시 금정구 장전로12번길 64, 1~4층 (장전동)"
100,부산서면중앙로  ,"부산광역시 부산진구 중앙대로 701, 1~3층 (부전동)"
101,부산대정문  ,부산광역시 금정구 부산대학로64번길 12 (장전동)
102,부산대연역  ,"부산광역시 남구 수영로 240-1, 1층 (대연동)"
