,name,address
0,울산성안  ,울산광역시 중구 성안12길 45 (성안동)
1,울산북구청DT  ,울산광역시 북구 산업로 1011 (연암동)
2,울산MBC DT  ,울산광역시 중구 번영로 434 (복산동)
3,울산대  ,울산광역시 남구 대학로84번길 5-3 (무거동)
4,울산삼산로  ,울산광역시 남구 삼산로 278 번길 8 (삼산동)
5,울산간절곶  ,울산광역시 울주군 서생면 대송리 25-18
6,울산삼산타워  ,울산광역시 남구 삼산로 273 (삼산동) 삼산타워
7,울산센트럴  ,울산광역시 남구 삼산로 231 (달동)
8,울산옥동  ,울산광역시 남구 문수로 329 (옥동)
9,울산중리사거리DT  ,울산광역시 남구 돋질로 310 (삼산동)
10,울산남구청DT  ,울산광역시 남구 번영로 215 (신정동)
11,울산정자비치DT  ,울산광역시 북구 동해안로 1601 (산하동)
12,울산시청사거리DT  ,울산광역시 남구 중앙로 182 (달동)
13,울산성남삼거리  ,울산광역시 중구 젊음의2거리 33 (성남동)
14,울산진장  ,울산광역시 북구 진장17길 10 (진장동)
15,울산태화  ,"울산광역시 중구 신기길 103, (1층,2층 전체) (태화동)"
16,울산삼산대로  ,"울산광역시 남구 삼산로 257, 1층 (달동)"
17,울산공업탑  ,울산광역시 남구 삼산로 27 (신정동)
18,울산테라스파크  ,울산광역시 동구 방어진순환도로 652 (일산동)
19,현대동구  ,울산광역시 동구 방어진순환도로 899 (서부동) 현대백화점주차장
20,울산성남동  ,울산광역시 중구 젊음의거리 74 (성남동)
21,울산신복  ,울산광역시 남구 대학로 152 (무거동)
22,울산디자인거리  ,"울산광역시 남구 삼산중로74번길 30-1, 1~2층 (삼산동)"
23,울산화봉  ,울산광역시 북구 화봉로 75 (화봉동)
