,name,address
0,영종도운서역  ,인천광역시 중구 신도시남로142번길 17 (운서동)
1,인천터미널사거리  ,인천광역시 남동구 예술로 126 (구월동)
2,송도트리플R  ,인천광역시 연수구 송도과학로16번길 33-1 (송도동)
3,인천공항T2입국  ,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 1층 환영홀지역 23-202
4,인천공항T2에어  ,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 3층 탑승지역 25-235
5,인천구월아시아드  ,인천광역시 남동구 인하로 556 (구월동)
6,인천공항T2출국  ,인천광역시 중구 공항로 272 (운서동)
7,인천학익DT  ,인천광역시 남구 매소홀로 368 (학익동)
8,인천청라  ,인천광역시 서구 중봉대로 586번길 19
9,인천계양  ,인천광역시 계양구 장제로 808 (계산동)
10,인천서구청DT  ,인천광역시 서구 서곶로 277 (심곡동) 연희주유소 (SK에너지)
11,인천삼산  ,인천광역시 부평구 길주로 643 (삼산동)
12,인천공항출국  ,인천광역시 중구 공항로 271 (운서동) 인천국제공항역 3층 FB P5 26
13,인천공항입국  ,인천광역시 중구 공항로 271 (운서동) 인천국제공항역 FB-P3-80
14,인천갈산DT  ,인천광역시 부평구 장제로 371 (갈산동)
15,인천청라타워돔  ,인천광역시 서구 중봉대로 612번길 10-17
16,인천공항중앙  ,인천광역시 중구 공항로 272 (운서동) 인천국제공항여객터미널 FB-P5-73
17,인천당하DT  ,인천광역시 서구 원당대로 668 (당하동)
18,인천용현DT  ,인천광역시 남구 아암대로 107 (용현동)
19,송도캠퍼스타운역  ,인천광역시 연수구 송도과학로27번길 55 (송도동) 롯데캠퍼스타운
20,인천연수  ,"인천광역시 연수구 용담로 115 (연수동) 105,106,203호"
21,인천송도DT  ,인천광역시 연수구 하모니로 136 (송도동)
22,인천간석DT  ,인천광역시 남동구 경원대로 974 (간석동)
23,인천서창  ,"인천광역시 남동구 서창남로 51 (서창동) 101,102,103호"
24,인천논현  ,"인천광역시 남동구 논고개로 93, 111,112, 206, 207호 (논현동)"
25,인하대  ,인천광역시 남구 인하로 59 (용현동)
26,부평GM  ,인천광역시 부평구 부평대로 233 (청천동)
27,부평역  ,"인천광역시 부평구 경원대로 1377, 1-4층 (부평동)"
28,주안역  ,"인천광역시 남구 주안로 100, 1-2층 (주안동)"
29,동암역  ,"인천광역시 부평구 동암광장로 14, 1~2층 (십정동)"
30,신세계인천2층  ,인천광역시 남구 연남로 35 (관교동) 신세계백화점
31,송도  ,"인천광역시 연수구 컨벤시아대로 60 (송도동, 푸르지오월드마크)"
32,인천구월  ,인천광역시 남동구 예술로 138 (구월동)
33,연수이마트  ,인천광역시 연수구 경원대로 184 (동춘동)
34,구월길병원  ,"인천광역시 남동구 남동대로 773, , 14 삼성화재 인천사옥 (구월동)"
35,인천공항랜드  ,인천광역시 중구 공항로 272 (운서동) 인천공항
36,구월로데오  ,"인천광역시 남동구 인하로 497-22, 2층 (구월동)"
37,부평로데오  ,"인천광역시 부평구 시장로 21, 1-3층 (부평동)"
38,신세계인천  ,"인천광역시 남구 연남로 35, 신세계백화점 지하 1층 (관교동)"
39,부평  ,인천광역시 부평구 경원대로 1397 (부평동)
40,인천작전  ,"인천광역시 계양구 계양대로 37, 1층 (작전동)"
41,송도센트럴파크  ,인천광역시 연수구 센트럴로 194 (송도동)
42,송림트레이더스  ,"인천광역시 동구 봉수대로 82, 이마트 트레이더스송림점1층 (송림동)"
43,부평시장역  ,"인천광역시 부평구 부평대로 60, 현대해상화재보험 1층 (부평동)"
44,인천예술회관역  ,인천광역시 남동구 예술로 174 (구월동) 흥국생명
45,부평사거리  ,"인천광역시 부평구 부평문화로 52, 1~2층 (부평동)"
46,송도커낼워크  ,인천광역시 연수구 아트센터대로 131 (송도동)
