,name,address
0,전북정읍DT  ,전라북도 정읍시 충정로 271 (수성동)
1,전주덕진광장DT  ,전라북도 전주시 덕진구 기린대로 491 (덕진동1가)
2,전주혁신도시  ,전라북도 전주시 덕진구 기지로 68 (중동)
3,전주백제대로DT  ,전라북도 전주시 완산구 백제대로 242 (중화산동2가)
4,전주평화DT  ,전라북도 전주시 완산구 모악로 4696 (평화동2가)
5,전주한옥마을  ,전라북도 전주시 완산구 팔달로 123 (전동)
6,전주홍산로  ,전라북도 전주시 완산구 홍산로 238 (효자동2가)
7,전주중화산  ,전라북도 전주시 완산구 유연로 288 (중화산동2가)
8,전주서신  ,전라북도 전주시 완산구 서신로 104 (서신동)
9,전주효자DT  ,전라북도 전주시 완산구 용머리로 7 (효자동1가)
10,익산영등DT  ,전라북도 익산시 무왕로 1005 (영등동)
11,전북대  ,전라북도 전주시 덕진구 명륜4길 12 (덕진동1가)
12,군산대  ,전라북도 군산시 황룡로 7 (미룡동)
13,군산수송  ,전라북도 군산시 수송로 195 (수송동)
14,전주경원  ,전라북도 전주시 완산구 전주객사4길 44-18 (고사동)
15,익산영등  ,전라북도 익산시 무왕로 1052 (영등동)
16,전북도청  ,전라북도 전주시 완산구 홍산중앙로 22 (효자동3가)
