,name,address
0,제주성산DT  ,제주특별자치도 서귀포시 성산읍 일출로 80 
1,제주에듀시티  ,제주특별자치도 서귀포시 대정읍 에듀시티로 36 
2,제주함덕  ,제주특별자치도 제주시 조천읍 조함해안로 522 
3,제주신화월드R  ,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 B1-29
4,제주시청  ,제주특별자치도 제주시 중앙로 215 (이도이동)
5,제주용담DT  ,제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스
6,제주노형  ,제주특별자치도 제주시 도령로 27 (노형동)
7,제주칠성  ,제주특별자치도 제주시 관덕로 55 (일도일동)
8,제주중문DT  ,제주특별자치도 서귀포시 천제연로 95(색달동)
9,제주애월DT  ,제주특별자치도 제주시 애월읍 애월해안로 376 
10,제주노형공원  ,제주특별자치도 제주시 연북로 12 (노형동)
11,제주중문  ,제주특별자치도 서귀포시 중문관광로110번길 32 (색달동)
12,신제주  ,제주특별자치도 제주시 노연로 99 (연동)
13,성산일출봉  ,"제주특별자치도 서귀포시 성산읍 일출로 284-5, 1,2층"
14,서귀포DT  ,제주특별자치도 서귀포시 일주서로 11 (강정동)
15,신제주이마트  ,"제주특별자치도 제주시 1100로 3348, 신제주이마트 1층 (노형동)"
16,제주송악산  ,제주특별자치도 서귀포시 형제해안로 322 (상모리)
17,제주서귀포  ,제주특별자치도 서귀포시 중정로 53 (서귀동)
