,name,address
0,천안쌍용역  ,충청남도 천안시 서북구 충무로 133 (쌍용동)
1,계룡대로DT  ,충청남도 계룡시 엄사면 번영로 6 
2,천안안서  ,충청남도 천안시 동남구 안서3길 3 (안서동)
3,아산탕정  ,충청남도 아산시 탕정면 탕정면로 10 
4,서산예천DT  ,충청남도 서산시 나무장1길 22 (예천동)
5,천안청당  ,충청남도 천안시 동남구 청수14로 102 (청당동)
6,천안시청  ,충청남도 천안시 서북구 불당22대로 67 (불당동)
7,천안불당  ,충청남도 천안시 서북구 불당4로 91 (불당동)
8,천안성정DT  ,충청남도 천안시 서북구 동서대로 154 (성정동)
9,논산중앙  ,충청남도 논산시 중앙로398번길 13-10
10,아산터미널  ,충청남도 아산시 번영로 232 (모종동)
11,아산용화  ,충청남도 아산시 어의정로 117 (용화동)
12,천안신불당  ,충청남도 천안시 서북구 불당33길 24 (불당동)
13,천안IC DT  ,충청남도 천안시 동남구 신부15길 3 (신부동)
14,천안터미널  ,충청남도 천안시 동남구 만남로 43 (신부동) 신세계백화점충청점 B동 L층
15,천안이마트  ,충청남도 천안시 서북구 충무로 187 (쌍용동) 천안이마트 1층
16,천안두정  ,충청남도 천안시 서북구 부성4길 3 (부성1동)
17,천안신부동  ,충청남도 천안시 동남구 만남로 9 (신안동)
18,서산호수  ,"충청남도 서산시 호수공원2로 33, 1~2층 (읍내동)"
19,당진문예의전당  ,"충청남도 당진시 시청1로 78, 1층 (읍내동)"
20,공주신관  ,충청남도 공주시 번영1로 113 (신관동)
