,name,address
0,청주오송  ,충청북도 청주시 흥덕구 오송읍 오송생명로 220 
1,청주용담DT  ,충청북도 청주시 상당구 산성로 129 (용담동)
2,충주터미널  ,충청북도 충주시 봉계13길 2 (봉방동)
3,충주시청DT  ,충청북도 충주시 국원대로 208-1 (금릉동)
4,청주성화  ,충청북도 청주시 서원구 복대로 5 (개신동)
5,청주봉명DT  ,충청북도 청주시 흥덕구 1순환로 514 (봉명동)
6,청주율량DT  ,충청북도 청주시 청원구 충청대로107번길 8 (율량동)
7,오창호수공원  ,"충청북도 청주시 청원구 오창읍 중심상업1로 20 101,102,103,104호"
8,청주서문  ,충청북도 청주시 상당구 무심동로392번길 20 (서문동)
9,청주터미널  ,충청북도 청주시 흥덕구 풍산로 15 (가경동)
10,현대충청  ,충청북도 청주시 흥덕구 직지대로 308 (복대동)
11,충북대  ,충청북도 청주시 서원구 내수동로 113 (사창동)
12,청주지웰시티  ,충청북도 청주시 흥덕구 대농로 43 (복대동) 신영지웰시티 1차 상업시설
13,충주성서  ,"충청북도 충주시 예성로 151 C&C몰 106호,107호 (성서동)"
14,충주연수  ,충청북도 충주시 계명대로 227 (연수동)
15,오창과학단지  ,충청북도 청주시 청원구 오창읍 과학산업2로 385 385
16,청주강서  ,충청북도 청주시 흥덕구 강서로 121 (강서동)
